hash,blockchain,transaction_type,amount,wallet_address,date,fee_crypto,fee_crypto_symbol,fee_usd,usd_ils_rate,fee_ils_standard,fee_ils_markup_6pct,crypto_amount_sent,error
0xe09078e1ff98a5de6e617258c291d1e39ce474986a636b6685362d5fc2c63218,USDT-ERC20,send,631.7694,0x7408a8b6e8edcad58ba08f1e3efbf33718f3f09c,2024-11-19,0.00072155,ETH,1.8,3.743,6.75,7.16,631.7694,
0x1e33e99b22f69bbba70ea88b2d750637e59821231908c44e8462a49a07bb0083,USDT-ERC20,send,202.16212,0x57119887daab6fd9268594fe9b5828931bdef57d,2024-11-19,0.00055725,ETH,1.39,3.743,5.21,5.53,202.16212,
0xf1841739be5c2e6d2ef516fb9693d88db770ed379a2427be2c102f748fd7ac34,USDT-ERC20,send,50.458032,0xe0a0cfaaf2c4aa7dbe4981a9597dbf872c3cc7a4,2024-11-18,0.00077379,ETH,1.93,3.733,7.22,7.65,50.458032,
0x7ed1e45b7c32e96882438662beb6ae8e579e40470ca900e4f5d5ea6868dba478,USDT-ERC20,send,201.832128,0x22e4f807e2f062318875de36f2c965eaa05f6488,2024-11-18,0.00106624,ETH,2.67,3.733,9.95,10.55,201.832128,
341f70899c086a98c237980f8d57d3029e7f8589865461022347915381e3ee1a,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/341f70899c086a98c237980f8d57d3029e7f8589865461022347915381e3ee1a
a8c8e34bf9e4528bbfab4cdb4672504d717f851426d9bce2076aac13557ded93,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/a8c8e34bf9e4528bbfab4cdb4672504d717f851426d9bce2076aac13557ded93
0xde81cf87d691cce121ed7420ccd3e02be1f2297956fbdc8212a103d87f913ebc,USDT-ERC20,send,100.854232,0x8f13c09667bc2a9ce5ea20183829a0da83ea4329,2024-11-14,0.00123052,ETH,3.08,3.748,11.53,12.22,100.854232,
851d32f669ddf178baa564c253107b273b74803467a9cac7de80a57a7a8c1afc,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/851d32f669ddf178baa564c253107b273b74803467a9cac7de80a57a7a8c1afc
a3587f641764e1a6fcb777f2c8db092d15fbf62307b92b7818ce40822e57efe5,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/a3587f641764e1a6fcb777f2c8db092d15fbf62307b92b7818ce40822e57efe5
0x90da0c06c02213716a44fb1232c0c7a4834edef06bd9c78c2b83179fb5f08ef1,USDT-ERC20,send,834.825288,0xd293c972b14a0715e732ff75e504eb1f741ce07b,2024-11-05,0.0006702,ETH,1.68,3.748,6.28,6.66,834.825288,
0x2fba756d30d6b01e160ce709a1bbe3f264424736e9a2824c6d2f62c0a4b6a645,ETH,send,0.28791,0xa02ea54731a16863ac99b509ff6dc2dc30623a7d,2024-11-05,0.00019965,ETH,0.5,3.748,1.87,1.98,0.28791,
9b8fdfc363e99d9dc0ef02efc96e2b3fdb643a06b50c7dd1ba731286fae8eabb,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/9b8fdfc363e99d9dc0ef02efc96e2b3fdb643a06b50c7dd1ba731286fae8eabb
0x9f8241f753e6500f565c0936a3bf29877a133f3abf9eb89088e8f3127096aed7,USDT-ERC20,send,251.65906,0x877d43536d8e9ba4952115bcaab9a1908c9836a8,2024-11-05,0.00039249,ETH,0.98,3.748,3.68,3.9,251.65906,
f5fab8f7b8be2e0cc4d9a40136b4ae32e090dd97057de579ff2819ee19e2b2ca,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/f5fab8f7b8be2e0cc4d9a40136b4ae32e090dd97057de579ff2819ee19e2b2ca
0xe2b180a8a9309824cc1aa9204a54ae7b7d3702bff7cb7c362063cf08aa5768f1,USDT-ERC20,send,1259.44265,0x1bb4f769269cf3cc75030bacfbb76f8cd97eb7f2,2024-11-01,0.00054016,ETH,1.35,3.761,5.08,5.38,1259.44265,
d07b65d8f87f181a96dfb6f664d26951083c4a4dafac8335f048dbd652d48bc8,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/d07b65d8f87f181a96dfb6f664d26951083c4a4dafac8335f048dbd652d48bc8
da0fb6b8ec53cf8b6d8a5d04ac2d6905b6ebb8f0795c068a11b9bf3dcbf7a03b,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/da0fb6b8ec53cf8b6d8a5d04ac2d6905b6ebb8f0795c068a11b9bf3dcbf7a03b
427c5b06ded44ea9c2492bb574c363d8cf1c502b1f549914c70557b76dc243af,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/427c5b06ded44ea9c2492bb574c363d8cf1c502b1f549914c70557b76dc243af
bc6d6403319b6e77de33357934a77a4b6d32c735b9686de8186df462ed5daa09,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/bc6d6403319b6e77de33357934a77a4b6d32c735b9686de8186df462ed5daa09
7ebd4d39607626e7ef8d87578c799d51344689606d3a371ee63aac03b1b1d90a,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/7ebd4d39607626e7ef8d87578c799d51344689606d3a371ee63aac03b1b1d90a
